ZrOCl2,Fumaric,FA:Zr,outcome
0.33,0.25,167,2
0.33,0.33,167,2
0.33,0.5,167,2
0.33,0.67,167,2
0.33,0.75,167,2
1.0,0.25,167,20
1.0,0.33,167,20
1.0,0.5,167,50
1.0,0.67,167,100
1.0,0.75,167,100
2.0,0.25,167,20
2.0,0.33,167,20
2.0,0.5,167,50
2.0,0.67,167,100
2.0,0.75,167,100
0.33,0.25,334,20
0.33,0.33,334,20
0.33,0.5,334,20
0.33,0.67,334,100
0.33,0.75,334,100
1.0,0.25,334,20
1.0,0.33,334,20
1.0,0.5,334,20
1.0,0.67,334,1000
1.0,0.75,334,100
2.0,0.25,334,20
2.0,0.33,334,20
2.0,0.5,334,20
2.0,0.67,334,20
2.0,0.75,334,0
0.33,0.25,501,20
0.33,0.33,501,20
0.33,0.5,501,20
0.33,0.67,501,20
0.33,0.75,501,20
1.0,0.25,501,20
1.0,0.33,501,20
1.0,0.5,501,20
1.0,0.67,501,20
1.0,0.75,501,0
2.0,0.25,501,20
2.0,0.33,501,20
2.0,0.5,501,0
2.0,0.67,501,0
2.0,0.75,501,0
